"correlation","pValue"
0.290189368823711,1.18140481256059e-20
0.293702224005782,3.92670274979093e-21
0.281406467043909,1.73507135865581e-19
0.291133523250743,8.80003110657744e-21
0.295699895824066,2.08447425303929e-21
0.281314604515207,1.78362821220848e-19
0.292128008202706,6.44508289571631e-21
0.296129017583486,1.81816144205371e-21
0.283336401829637,9.69267897794805e-20
0.293811437122135,3.79357108069292e-21
0.298096118711191,9.68759490645161e-22
0.284039592055477,7.83092148452806e-20
0.296922021173962,1.41144617102658e-21
0.299328495630021,6.51388640318807e-22
0.288196713946986,2.19170936617472e-20
0.298165233394017,9.47481655326719e-22
0.301942920042527,2.78858288815572e-22
0.288664203341654,1.89675284108852e-20
0.297101198383815,1.33281415063146e-21
0.299389458560768,6.38691966303421e-22
0.288525752505543,1.97976450937432e-20
0.298017918041563,9.93404090570691e-22
0.301776554894483,2.9440298962875e-22
0.289031721145633,1.69269795779345e-20
0.297178812433025,1.3001112185046e-21
0.299135133166014,6.93332461825063e-22
0.288508087272027,1.99061081929308e-20
0.29780106348374,1.06503115162328e-21
0.301539143184475,3.18079103848875e-22
0.288723700267306,1.8621442896992e-20
0.289018797980254,1.55596432130438e-20
0.288557521409683,1.79536550889561e-20
0.279363693916826,2.94503620174887e-19
0.287298333412505,2.64992211880038e-20
0.290088512521661,1.11537603036164e-20
0.289809639685913,1.21666874227643e-20
0.291750211155527,6.63135801958526e-21
0.29100915689226,8.36554486740062e-21
0.281802897620993,1.4163318918591e-19
0.289139815417752,1.49856116177385e-20
0.292381337236548,5.43803062446305e-21
0.292044901100512,6.04503201113602e-21
0.295909295492788,1.77749019080449e-21
0.294369994431838,2.90089997900095e-21
0.286309241777818,3.5929074575024e-20
0.293174085776566,4.23554247491791e-21
0.29610623576748,1.66915711426535e-21
0.295884688403458,1.79150498074743e-21
0.295749185596713,1.87065725676596e-21
0.294425014366952,2.8507001596342e-21
0.28676271417334,3.12532588433706e-20
0.293593627154679,3.70964557971392e-21
0.29593368458193,1.76370641812619e-21
0.296573951813145,1.43731890257236e-21
0.296104468944758,1.67009940081156e-21
0.294276253038122,2.9884473090686e-21
0.286599867380279,3.28588576942503e-20
0.293815018041218,3.4586824248691e-21
0.295811229161722,1.83399559128449e-21
0.296752633691329,1.35740932531842e-21
0.290980320513652,9.23151546038219e-21
0.294810405251124,2.76520252366519e-21
0.282311145894014,1.32137853663168e-19
0.293496206932008,4.19051976164363e-21
0.295617400103837,2.13991901714631e-21
0.282467863154021,1.26035118455965e-19
0.292827497798639,5.17335524859976e-21
0.297643607892365,1.12021250201824e-21
0.284226244327173,7.39913321874132e-20
0.29429638292626,3.25427315229323e-21
0.298559638700828,8.34603429315465e-22
0.285175903277518,5.54074310539951e-20
0.297585621890296,1.14123770151929e-21
0.300490098740938,4.47299534635763e-22
0.289068265099631,1.67363331244162e-20
