"correlation","pValue"
0.287105690945815,3.06776636429108e-20
0.289397610595529,1.51110552376716e-20
0.276512330960932,7.44234855694149e-19
0.28647591767532,3.72245397601942e-20
0.293086602775282,4.76810617984472e-21
0.278241254756333,4.46434069059743e-19
0.289262467711101,1.57582042385125e-20
0.291937551345692,6.84184571496113e-21
0.278525221238396,4.10347407538981e-19
0.289281602594848,1.56649385846881e-20
0.295705642074453,2.08066552907021e-21
0.280998796618919,1.96100790645619e-19
0.293839511145955,3.76007502060151e-21
0.29505426251624,2.55931013132778e-21
0.283158250538724,1.02298598497935e-19
0.29367360078451,3.96235102753149e-21
0.299360456204652,6.44701468097796e-22
0.285350434408355,5.25327299049755e-20
0.293905659854661,3.68230115743547e-21
0.295027925804576,2.58079632675182e-21
0.283394433765742,9.52377898884311e-20
0.293467873960357,4.22814466700325e-21
0.299096952763204,7.01924501721917e-22
0.285617754103173,4.84126710078786e-20
0.293943744704421,3.63824598814394e-21
0.294970682180018,2.62811347199362e-21
0.28344434030518,9.38085242518474e-20
0.293410184144514,4.3057881776841e-21
0.299134419306217,6.93492150266476e-22
0.285207190015317,5.48809286691036e-20
0.285083188037558,5.23122366334208e-20
0.283188983564684,9.31298214966675e-20
0.276924834428522,6.07870161320007e-19
0.28245274578527,1.16393519289078e-19
0.286570790413726,3.31539889537554e-20
0.287427746219443,2.54621672582057e-20
0.287968814762187,2.15431537636194e-20
0.285875934173115,4.10393832225983e-20
0.279421235334518,2.89485727425194e-19
0.284603110837192,6.05716827538194e-20
0.289204667670076,1.46866482098837e-20
0.289905133572107,1.1810004889965e-20
0.292005973438248,6.11944623530565e-21
0.289046152274911,1.54280221378542e-20
0.283905549238668,7.49131040500173e-20
0.288721787100783,1.70621048810136e-20
0.292730579925022,4.87158357626101e-21
0.29357427118868,3.73242325769581e-21
0.291681845144007,6.77520976192711e-21
0.288991008446293,1.569449345302e-20
0.284160090507857,6.93285204935609e-20
0.288907712738413,1.61056396395504e-20
0.292460941896258,5.30345261876908e-21
0.294084945431461,3.17528911132708e-21
0.2920211491328,6.09032938124275e-21
0.289010783626862,1.55984155095087e-20
0.284059485440593,7.14848968507934e-20
0.289179821277276,1.48004857813313e-20
0.292595068201664,5.08410067184935e-21
